coords	ins0	ins1	ins2	ins3	ins4	ins5	ins6	ins7	ins8	ins9	ins10	ins11	ins12	ins13	ins14	ins15	ins16	ins17	ins18	ins19	no_ins0	no_ins1	no_ins2	no_ins3	no_ins4	no_ins5	no_ins6	no_ins7	no_ins8	no_ins9	no_ins10	no_ins11	no_ins12	no_ins13	no_ins14	no_ins15	no_ins16	no_ins17	no_ins18	no_ins19
chr1,17024,18924	0.00386205055666	0.00744360964509	0.0160878081013	0.00387506370622	0.00407367046426	0.00865001829728	0.00920613943873	0.0115430583423	0.00780175599235	0.202058545496	0.0105759966545	0.0120433785395	0.00721533641711	0.00627040327656	0.0055586245354	0.00360497138895	0.00689271778	0.0042943548289	0.0051354377169	0.0101297274331	0.00130718954248	0.00333333333333	0.00714285714286	0.00253164556962	0.000638977635783	0.0	0.0025	0.0017094017094	0.000865800865801	0.0475750577367	0.0	0.00338983050847	0.0	0.0	0.00731447508581	0.0	0.00740740740741	0.00322580645161	0.0	0.0030303030303
chr1,18331,18642	0.0300299715442	0.170915205172	0.269764337172	0.264941935593	0.418612497207	0.393723116049	0.682655118835	0.60769271093	0.597331113687	0.480870535017	0.573682401115	0.073236493762	0.0219756165921	0.0115093476677	0.00924917332941	0.00942481540032	0.00692403895174	0.00475798660586	0.00519831808268	0.00653452049734	0.0211461461461	0.0895513833992	0.171767834489	0.163071373725	0.242948717949	0.201303444105	0.36269596798	0.334127692112	0.305772854596	0.209681372549	0.364479371812	0.0578187071145	0.00725097868639	0.00502507215495	0.00994486498573	0.000636942675159	0.00317647058824	0.00652465729756	0.0	0.00395457033388
chr1,55676,56576	0.00799621877739	0.00374903657646	0.00429637049768	0.00397044947647	0.00772423999369	0.00658165913906	0.00366287685064	0.00255684103626	0.00329211823791	0.0336592018935	0.01868837976	0.00771785034201	0.00703946533707	0.00449901108104	0.00525903526732	0.00722700235542	0.0053589456416	0.00352010963833	0.0102090015889	0.00366367844857	0.014839436673	0.00648224565647	0.00400963675844	0.00131710292813	0.0146444629173	0.00517249510538	0.00359473347881	0.00592772733535	0.000866127908065	0.00734843290647	0.00207345971564	0.00235810134299	0.0	0.00385935355648	0.00717934752032	0.0056583304525	0.00478801169591	0.00139508928571	0.00540858538391	0.00365384615385
chr1,257710,258629	0.00982932428228	0.00678704520588	0.0042861066146	0.00322122552952	0.00264773557974	0.00478794712087	0.00362476326069	0.00202442973088	0.0275569513956	0.256707529421	0.457748602519	0.00796651765636	0.00658861931344	0.00419650131565	0.00323221091152	0.00439953830967	0.00362408235355	0.0030068297211	0.0032768336112	0.00265241039974	0.00972642191003	0.00232940265344	0.00229922471313	0.00230848150782	0.00354989639349	0.00563042088466	0.00708593341156	0.00357462909489	0.0116271232804	0.0710463020644	0.147231904538	0.000797448165869	0.00314270425454	0.00329833966198	0.0106965124362	0.00309465958745	0.00173748353096	0.00729098342735	0.0149112339456	0.00478595547946
chr1,258630,258712	0.39294791298	0.639725582345	0.297711407172	0.269249862442	0.5025800212	0.392129385912	0.0	0.304136254818	0.371551677517	0.550410016483	0.013913715961	0.00826052530097	0.0053063851614	0.00494486193494	0.00364616564739	0.00445024463415	0.00478274937853	0.0032053170311	0.00261760420516	0.00409771579822	0.0570066072158	0.208931419458	0.171997755331	0.182364182364	0.292771524219	0.255960668868	0.0	0.213422445001	0.297484148912	0.428942962286	0.00236406619385	0.00146198830409	0.00107874865156	0.00432215642587	0.00447464826312	0.00129198966408	0.00333149526698	0.0166187761661	0.00293614350725	0.00318938468926
chr1,431310,431469	0.00388552948246	0.00362520804537	0.00283133971877	0.00306346235302	0.00318456126916	0.00452929634813	0.00770277155797	0.00407650411722	0.00445570684495	0.0307529775028	0.261418324448	0.123847302491	0.0891261015065	0.107982842466	0.462148197217	0.418055396436	0.150818830342	0.090728817682	0.068672205458	0.14452212434	0.00158475191709	0.00397033010272	0.00544431865446	0.00377626468889	0.0	0.00653439153439	0.0238344533983	0.004281230812	0.0190883190883	0.0	0.0588716838717	0.0221946200943	0.0151515151515	0.0133547008547	0.162107503241	0.106006709784	0.0116959064327	0.00425340302285	0.00689183480022	0.0551103254426
chr1,431474,431916	0.00300027141254	0.00289181688482	0.00626774892251	0.0038051828464	0.00834347805915	0.00500138557029	0.00506240190249	0.00864464662303	0.324363359122	0.371534913636	0.524138797817	0.336717961186	0.0614249953409	0.107128844178	0.115148666267	0.121500917007	0.0891750115327	0.0564726366102	0.136706421794	0.0698480534718	0.00574300903246	0.00452167288775	0.0	0.00651075977163	0.019692235464	0.00822849342783	0.00924368501461	0.0	0.0	0.0555555555556	0.135921354448	0.0470398428732	0.00604154386482	0.00422183475344	0.0274882450108	0.0551356862824	0.0150968154174	0.0290050093154	0.108620485548	0.0553840170526
chr1,431917,432073	0.00736180171884	0.00437562192161	0.00436228554928	0.0369865568533	0.488457126606	0.356774795231	0.120994845151	0.133716569057	0.111860637071	0.135948944551	0.14836346816	0.089405698296	0.0730018301015	0.126746775122	0.0837944109671	0.0690199419389	0.0925462214905	0.0807641217739	0.0644424177852	0.307344480658	0.022808854105	0.00438348243951	0.0191256830601	0.0	0.0	0.0796296296296	0.0744922396331	0.0512277243985	0.0109401709402	0.0174291938998	0.0116959064327	0.0042344575038	0.00762115942861	0.0556057065269	0.0334853337046	0.0133761017961	0.0446246656451	0.106336620977	0.00727000580532	0.114370528998
chr1,846664,847739	0.00759726683885	0.00910102450748	0.0184077440254	0.00690697659841	0.00871058636736	0.00319759824923	0.00609705601797	0.00593559076097	0.00661267474347	0.00471422047801	0.00432968346064	0.0093749091649	0.00334581098984	0.00461316094174	0.00477904124581	0.00419010374554	0.000344555110441	0.00224219600826	0.006637285449	0.00307894888373	0.00696870077392	0.00386077453077	0.0	0.0	0.0	0.0	0.0	0.0	0.00472548579411	0.00329430404204	0.0	0.0	0.00221238938053	0.0	0.0	0.00284090909091	0.0	0.00242718446602	0.00716986317822	0.00208333333333
chr1,1160069,1161330	0.00783619370786	0.003684585775	0.00444848675549	0.00294882281787	0.00471343251594	0.00333751339244	0.00261786687515	0.00432366537751	0.00551327946141	0.00411616148415	0.00675509853642	0.00749736272063	0.00420125219232	0.00122455064316	0.00463326593998	0.00304369597308	0.00302987341991	0.00242846131681	0.00518009638051	0.00484389938731	0.00842988710636	0.00285353535354	0.00131752305665	0.0	0.030303030303	0.0	0.00189393939394	0.00157232704403	0.0683760683761	0.0198690977092	0.0	0.0177777777778	0.0	0.00925925925926	0.0	0.0	0.0	0.00661375661376	0.00225225225225	0.0
chr1,1705375,1706660	0.00360080114371	0.00221432417141	0.00371586435236	0.0105108575481	0.00626658087833	0.0117584138468	0.00638057684559	0.00503595913036	0.00405988074145	0.00686885818299	0.00457910045125	0.00366399037501	0.00257153235912	0.00495030564396	0.00398975243266	0.00524013603719	0.00471817115421	0.00444408476109	0.00327630898115	0.00411917073634	0.00800079843938	0.00555555555556	0.0	0.0	0.00179211469534	0.0035979375602	0.0027584848037	0.0100202942669	0.00530027048749	0.0017094017094	0.010414485208	0.0	0.012735950236	0.00426256061779	0.00252704221521	0.00246298930509	0.00212176742716	0.00282512012762	0.00538571908736	0.00245266491476
chr1,1738944,1739205	0.0134939283044	0.00613689445239	0.0062397477479	0.00347733032062	0.0056416047134	0.00667223842877	0.00427781051073	0.0044143652325	0.00871657798603	0.0051329621842	0.00283235312458	0.0035998955827	0.0047119282583	0.00453695264529	0.00379882289995	0.00884254694171	0.00820481180659	0.00630418052308	0.00358767179081	0.00436615469315	0.0258984557717	0.0	0.00663515406162	0.0038906709273	0.00611998257372	0.00415816574371	0.0186612576065	0.00108695652174	0.00800429646647	0.0	0.0	0.0	0.0	0.0153846153846	0.0	0.0	0.0159222380275	0.016	0.00322630362189	0.00373831775701
chr1,1976073,1976109	0.590657708735	0.560538930147	0.523806015237	0.621746818027	0.388673172845	0.261860527363	0.105509738488	0.327176146772	0.333815276737	0.384903630064	0.368542873609	0.566477908521	0.436899692573	0.456364959284	0.492045224316	0.332261827897	0.299785563759	0.266104968341	0.0686629702854	0.213924344787	0.263157894737	0.19387755102	0.225	0.370967741935	0.416666666667	0.233333333333	0.0	0.0	0.5	0.25	0.75	0.5	0.0625	0.477611940299	0.541176470588	0.390243902439	0.408284023669	0.185185185185	0.0416666666667	0.162162162162
chr1,2335043,2335717	0.00321565013141	0.00381966904327	0.00459896735262	0.00201805680625	0.00325173171062	0.00276174917497	0.00537429259592	0.010497463474	0.0259854929968	0.00604479101385	0.00326793106092	0.00269391885313	0.00505538892489	0.0029844564523	0.00373301378534	0.00332139288531	0.00305021377486	0.00310722835474	0.00778141005456	0.00292798474217	0.0275862068966	0.00490196078431	0.0	0.0	0.0	0.0	0.00396825396825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00709219858156
